Date,ring,tree,canopy,co2grow,id,photo_amb,photo_elev,gmes_amb,gmes_elev,gm_Eglob_amb,gm_Eglob_ele,gs_amb,gs_elev,ci_amb,ci_elev,cc_amb,cc_elev,drawdown_amb,drawdown_elev,leafw,epi_up,epi_low,meso.mean,sum.mean,leafw.mean.y,epiupper.mean,epilower.mean,mesolay.mean,meso.mean.y,length.par1.mean,sumlength.par.mean,meanlength.par.mean
22/10/2014,R1,116,lower,elev,116_lower,14.470506,17.142784,0.114,0.105,0.095,0.091,0.183857143,0.126571429,247,295,121,132,126,163,282.2333333,15.78138889,13.87011111,253.8166667,283.4833333,282.8076667,15.78138889,13.87011111,7.125,252.4705,39.83016667,103.1650375,34.38834583
22/10/2014,R1,116,upper,elev,116_upper,20.560506,25.446894,0.278,0.164,0.124,0.11,0.113285714,0.085428571,247,317,212,247,35,69,304.2142857,,14.43819286,273.2285714,305.7571429,306.2553125,21.71885556,14.04790972,7.5,270.9149405,36.23308334,95.34446945,31.78148982
28/10/2014,R1,117,lower,elev,117_lower,15.585798,20.761404,0.311,0.264,0.147,0.164,0.241,0.238571429,274,380,224,301,50,79,290.6,22.62022222,17.97888889,248.4666667,289,290.5961111,22.62022222,17.97888889,7.666666667,248.4282222,32.91377778,82.97861438,27.65953813
28/10/2014,R1,117,upper,elev,117_upper,12.059831,17.659925,0.223,0.247,0.138,0.164,0.144,0.156666667,241,348,187,277,54,71,323,24.69844444,18.15355555,273.2,316.1,323.0097778,24.69844444,18.15355556,8,273.2191111,31.37255556,84.32527778,28.10842593
22/10/2014,R2,202,lower,amb,202_lower,10.009818,9.785828,0.249,0.254,0.136,0.128,0.094428571,0.05975,213,263,172,223,40,40,291.4333333,21.21477778,16.75872222,251.7333333,289.7333333,286.8233,21.21477778,16.75872223,6.833333334,253.0057024,36.591,101.9286833,33.97622778
22/10/2014,R1,202,upper,amb,202_upper,,,0.143,0.163,0.122,0.139,0.300714286,0.319,266,391,122,234,144,157,281.3333333,18.96916667,,256.25,291.7333333,281.01175,18.96916667,19.9015,7,256.27875,38.15916667,94.34769583,31.44923194
28/10/2014,R2,208,lower,amb,208_lower,12.362338,19.923322,0.147,0.12,0.101,0.099,0.114333333,0.143,209,300,126,134,83,166,264.9666667,22.50911111,17.96444444,227.6666667,268.1333333,264.9712222,22.50911111,17.96444444,7.888888889,227.6653333,34.92722222,90.12686666,30.04228889
28/10/2014,R2,208,upper,amb,208_upper,12.29243,18.449213,0.144,0.16,0.103,0.125,0.115166667,0.137833333,209,308,123,192,86,116,319.9333333,19.89844444,13.77833333,285.8,319.4666667,319.9456667,19.89844444,13.77833333,8,285.7998889,35.33971429,94.28157143,31.42719048
28/10/2014,R2,209,upper,amb,209_upper,14.01183,18.546868,0.151,0.28,0.108,0.173,0.176166667,0.177571429,258,361,165,295,93,66,295.1,25.25577778,18.31833333,257.0666667,300.6666667,295.1224444,25.25577778,18.31833333,7,257.0828889,37.86383333,93.82646666,31.27548889
27/10/2014,R3,301,lower,amb,301_lower,13.232115,14.747207,0.403,0.323,0.19,0.198,0.1384,0.086666667,237,257,205,212,33,45,303.5,21.33955556,20.92277778,256.5666667,298.8666667,303.4855556,21.33955556,20.92277778,8,256.5706667,25.90611111,75.84864814,25.28288271
27/10/2014,R3,301,upper,amb,301_upper,16.928954,20.987336,0.187,0.425,0.145,0.267,0.188333333,0.166,240,321,150,271,90,50,277.525,20.55137778,16.56542778,236.6,273.7,273.2291111,20.55033333,16.71266667,7,231.5961111,28.78888889,77.99391112,25.99797037
29/11/2014,R4,403,upper,elev,403_upper,12.142097,17.492021,0.137,0.453,0.104,0.241,0.13,0.131333333,233,313,144,275,89,38,299.6333333,22.33688889,18.84088889,254.5,295.6666667,299.6395556,22.33688889,18.84088889,8,254.4868889,27.01311111,78.42674074,26.14224691
23/10/2014,R4,408,lower,elev,408_lower,8.171285,,0.245,0.245,0.101,0.168,0.089,0.154,227,350,194,281,34,69,236.7,15.79455556,13.08688889,207.4,236.2666667,236.6822222,15.79455556,13.08688889,7,207.3986667,27.525,71.53122222,23.84374074
23/10/2014,R4,408,upper,elev,408_upper,12.030607,19.246378,0.252,0.085,0.149,0.077,0.104571429,0.134714286,196,293,148,66,48,227,347.1666667,22.34644444,13.71255556,307.2333333,343.2666667,347.1855556,22.34644444,13.71255556,8,307.2205556,37.61311111,100.1552963,33.38509877
23/10/2014,R4,422,lower,elev,422_lower,14.88813,21.895189,0.065,0.091,0.059,0.082,0.207,0.220714286,256,360,26,120,230,240,329.575,22.41144444,19.74638889,277.725,319.875,325.6967778,22.21811111,19.83766667,7,273.606,33.38966667,92.34593334,30.78197778
27/10/2014,R5,501,lower,elev,501_lower,12.515301,17.32504,0.171,0.291,0.121,0.188,0.157714286,0.175333333,263,365,190,305,73,60,343.3,21.00277778,19.09311111,296.1,336.1666667,343.2912222,21.00277778,19.09311111,7.333333333,296.0536667,30.53277778,91.55254861,30.5175162
27/10/2014,R5,501,upper,elev,501_upper,13.393189,17.88785,0.343,0.209,0.16,0.153,0.167333333,0.148333333,249,333,210,248,39,84,375.6333333,25.699,21.62166667,319.8666667,367.2,375.6547778,25.699,21.62166667,8.666666667,319.8875556,30.82955556,87.86889445,29.28963148
30/10/2014,R5,513,lower,elev,513_lower,14.066401,18.558415,0.149,0.27,0.115,0.18,0.227428571,0.222285714,283,394,189,325,94,69,351.1333333,23.277,17.98933334,296.9333333,338.2,351.165,23.277,17.98933333,8,296.9282222,32.97011111,94.18172222,31.39390741
27/10/2014,R5,513,upper,elev,513_upper,10.972033,15.13539,0.166,0.34,0.106,0.148,0.142,0.142833333,246,356,175,312,71,45,292.8666667,22.35222222,18.21711111,250.3666667,290.9666667,292.8722222,22.35222222,18.21711111,7.333333333,250.3853333,34.03566667,90.95861111,30.31953704
30/10/2014,R5,523,upper,elev,523_upper,12.666448,19.30738,0.114,0.243,0.091,0.172,0.193285714,0.228142857,275,387,163,307,111,80,353.325,23.560575,20.3368,299.8,343.675,363.2158889,24.06466667,20.94666667,8,307.2945556,34.812,94.45625926,31.48541975
29/10/2014,R3,r3out,lower,amb,r3out_lower,13.465356,20.082784,0.191,,0.139,0.315,0.1175,0.130333333,195,281,125,254,70,27,354.05,25.311625,25.931875,289.5,340.75,354.05975,25.311625,25.931875,7.5,289.525625,35.44877778,95.98290356,31.99430119
29/10/2014,R3,r3out,upper,amb,r3out_upper,11.40697,15.846056,0.152,0.439,0.112,0.225,0.0985,0.096333333,197,266,122,230,75,36,397.3333333,25.98111111,23.19311111,346.2666667,395.4666667,397.3445556,25.98111111,23.19311111,9,346.291,34.03866667,100.3140163,33.43800542
23/10/2014,R6,r6out1,lower,amb,r6out1_lower,8.469656,12.669087,0.192,0.137,0.085,0.1,0.1045,0.1115,249,340,206,248,43,93,323.85,23.45811111,19.25927778,272.1,314.8333333,323.8402222,23.45811112,19.25927778,7,272.0910556,34.82277778,92.99658889,30.99886296
30/10/2014,R6,r6out1,lower,amb,r6out1_lower,8.199873,11.950611,0.054,0.097,0.046,0.076,0.146714286,0.147428571,299,402,148,279,150,124,323.85,23.45811111,19.25927778,272.1,314.8333333,323.8402222,23.45811112,19.25927778,7,272.0910556,34.82277778,92.99658889,30.99886296
23/10/2014,R6,r6out1,upper,amb,r6out1_upper,17.69436,23.777818,,0.379,0.256,0.256,0.223714286,0.238142857,238,361,214,298,25,63,361.45,22.96116667,20.37083333,313.7666667,357.0833333,361.4374445,22.96116667,20.37083334,8.166666667,313.7581667,32.75388889,90.48690546,30.16230182
30/10/2014,R6,r6out1,upper,amb,r6out1_upper,8.42074,12.444457,0.086,0.149,0.065,0.102,0.1275,0.134285714,274,375,176,291,98,84,361.45,22.96116667,20.37083333,313.7666667,357.0833333,361.4374445,22.96116667,20.37083334,8.166666667,313.7581667,32.75388889,90.48690546,30.16230182
30/10/2014,R6,r6out2,lower,amb,r6out2_lower,12.688143,17.539635,0.122,0.35,0.097,0.201,0.202833333,0.228571429,277,406,173,355,104,50,273.02,19.62946666,15.83213333,233.98,269.44,276.8053334,20.11091667,15.816,7.5,236.5662778,27.38233334,73.39181905,24.46393968
23/10/2014,R6,r6out2,lower,amb,r6out2_lower,15.398948,19.551142,0.233,,0.154,0.295,0.290142857,0.274,295,408,228,391,67,17,273.02,19.62946666,15.83213333,233.98,269.44,276.8053334,20.11091667,15.816,7.5,236.5662778,27.38233334,73.39181905,24.46393968
30/10/2014,R6,r6out2,upper,amb,r6out2_upper,11.197679,16.363121,0.102,0.218,0.082,0.153,0.149,0.160428571,259,359,148,283,110,76,331.6666667,21.43433334,17.73422222,286.9333333,326.1,331.6757778,21.43433333,17.73422222,8,286.9378889,30.43711111,90.60548148,30.20182716
