TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
09:44:20,29/10/2014 9:44,3,947.0808,10.14692,-41.66557,f4
09:44:40,29/10/2014 9:44,4,302.7678,3.341585,-12.78279,f4
09:45:00,29/10/2014 9:45,19,428.7573,4.626514,-34.81114,f4
09:45:20,29/10/2014 9:45,20,678.8745,7.321323,-35.34881,f4
09:46:20,29/10/2014 9:46,3,775.0328,8.353314,-35.92981,f4
09:46:40,29/10/2014 9:46,4,323.1688,3.483286,-35.8832,f4
09:47:00,29/10/2014 9:47,19,427.7106,4.61519,-34.81755,f4
09:47:20,29/10/2014 9:47,20,695.914,7.501781,-35.77381,f4
09:48:20,29/10/2014 9:48,3,775.2421,8.353177,-36.20594,f4
09:48:40,29/10/2014 9:48,4,323.4779,3.486685,-35.8646,f4
09:49:00,29/10/2014 9:49,19,427.6758,4.615544,-34.66468,f4
09:49:20,29/10/2014 9:49,20,428.4829,4.624261,-34.66338,f4
09:50:20,29/10/2014 9:50,3,774.3482,8.343614,-36.19798,f4
09:50:40,29/10/2014 9:50,4,322.8066,3.479411,-35.87531,f4
09:51:00,29/10/2014 9:51,19,427.6425,4.615432,-34.61308,f4
09:51:20,29/10/2014 9:51,20,427.9396,4.618175,-34.71003,f4
09:52:20,29/10/2014 9:52,3,773.8453,8.337338,-36.29704,f4
09:52:40,29/10/2014 9:52,4,322.7571,3.4785,-35.97971,f4
09:53:00,29/10/2014 9:53,19,427.5623,3.780769,-209.071,f4
09:53:20,29/10/2014 9:53,20,427.9732,4.626319,-33.0831,f4
09:54:20,29/10/2014 9:54,3,774.0455,8.359206,-34.01927,f4
09:54:40,29/10/2014 9:54,4,322.636,3.507056,-27.69918,f4
09:55:00,29/10/2014 9:55,19,427.7571,4.702081,-16.7527,f4
09:55:20,29/10/2014 9:55,20,428.1528,4.706246,-16.79131,f4
09:56:20,29/10/2014 9:56,3,774.007,8.272964,-43.93797,f4
09:56:40,29/10/2014 9:56,4,322.9559,3.424094,-51.64174,f4
09:57:00,29/10/2014 9:57,19,427.6748,4.760575,-4.329556,f4
09:57:20,29/10/2014 9:57,20,427.9214,4.763239,-4.34653,f4
09:58:20,29/10/2014 9:58,3,773.1038,8.332186,-35.9688,f4
09:58:40,29/10/2014 9:58,4,321.8271,3.469151,-35.79245,f4
09:59:00,29/10/2014 9:59,19,427.6186,4.758959,-4.536689,f4
09:59:20,29/10/2014 9:59,20,427.9252,4.762486,-4.512736,f4
10:00:20,29/10/2014 10:00,3,772.9388,8.328477,-36.19231,f4
10:00:40,29/10/2014 10:00,4,322.3204,3.474553,-35.76907,f4
10:01:00,29/10/2014 10:01,19,427.6328,4.759372,-4.483429,f4
10:01:20,29/10/2014 10:01,20,427.9933,4.763384,-4.483249,f4
10:02:20,29/10/2014 10:02,3,773.3655,8.33269,-36.23688,f4
10:02:40,29/10/2014 10:02,4,322.4503,3.475811,-35.80875,f4
10:03:00,29/10/2014 10:03,19,427.604,4.759103,-4.472621,f4
10:03:20,29/10/2014 10:03,20,452.5634,5.02595,-6.613094,f4
10:04:20,29/10/2014 10:04,3,773.5135,8.334565,-36.2044,f4
10:04:40,29/10/2014 10:04,4,322.5768,3.477538,-35.70769,f4
10:05:00,29/10/2014 10:05,19,422.7474,4.705023,-4.478419,f4
10:05:20,29/10/2014 10:05,20,409.1474,4.554583,-4.276559,f4
10:06:20,29/10/2014 10:06,3,773.4959,8.33448,-36.1924,f4
10:06:40,29/10/2014 10:06,4,322.5538,3.476372,-35.96248,f4
10:07:00,29/10/2014 10:07,19,67.19381,0.7253519,-34.41763,f4
10:07:20,29/10/2014 10:07,20,321.4173,3.529096,-17.99371,f4
10:08:20,29/10/2014 10:08,3,773.4041,8.333609,-36.17864,f4
10:08:40,29/10/2014 10:08,4,322.54,3.476837,-35.79207,f4
10:09:00,29/10/2014 10:09,19,66.30585,0.7150402,-35.39721,f4
10:09:20,29/10/2014 10:09,20,137.831,1.505183,-23.43845,f4
10:10:20,29/10/2014 10:10,3,773.6599,8.333983,-36.45386,f4
10:10:40,29/10/2014 10:10,4,322.8695,3.478158,-36.41016,f4
10:11:00,29/10/2014 10:11,19,66.01283,0.7119495,-35.30311,f4
10:11:20,29/10/2014 10:11,20,746.8014,8.186548,-19.45934,f4
10:12:20,29/10/2014 10:12,3,773.8734,8.336987,-36.37254,f4
10:12:40,29/10/2014 10:12,4,322.6788,3.47745,-36.03684,f4
10:13:00,29/10/2014 10:13,19,427.287,4.755124,-4.566975,f4
10:13:20,29/10/2014 10:13,20,768.3188,8.41987,-19.75362,f4
10:14:20,29/10/2014 10:14,3,773.2576,8.330939,-36.30473,f4
10:14:40,29/10/2014 10:14,4,322.4552,3.474992,-36.05021,f4
10:15:00,29/10/2014 10:15,19,427.7507,4.760689,-4.482329,f4
10:15:20,29/10/2014 10:15,20,779.0901,8.536853,-19.87848,f4
10:16:20,29/10/2014 10:16,3,773.4715,8.332582,-36.38131,f4
10:16:40,29/10/2014 10:16,4,322.5731,3.476332,-36.03122,f4
10:17:00,29/10/2014 10:17,19,427.7917,4.761245,-4.461606,f4
10:17:20,29/10/2014 10:17,20,762.437,8.356977,-19.57337,f4
10:18:20,29/10/2014 10:18,3,773.4585,8.333066,-36.30924,f4
10:18:40,29/10/2014 10:18,4,322.5886,3.47689,-35.92266,f4
10:19:00,29/10/2014 10:19,19,423.0876,4.708584,-4.525903,f4
10:19:20,29/10/2014 10:19,20,786.6273,8.618477,-19.98765,f4
10:20:20,29/10/2014 10:20,3,773.5123,8.333758,-36.29619,f4
10:20:40,29/10/2014 10:20,4,322.575,3.476343,-36.03374,f4
10:21:00,29/10/2014 10:21,19,67.8578,0.7326857,-34.19854,f4
10:21:20,29/10/2014 10:21,20,774.8759,8.492207,-19.70148,f4
10:22:20,29/10/2014 10:22,3,773.5332,8.333549,-36.34634,f4
10:22:40,29/10/2014 10:22,4,322.6647,3.477678,-35.93172,f4
10:23:00,29/10/2014 10:23,19,65.72706,0.7085941,-35.67538,f4
10:23:20,29/10/2014 10:23,20,783.882,8.59027,-19.77423,f4
10:24:20,29/10/2014 10:24,3,773.4109,8.332644,-36.29866,f4
10:24:40,29/10/2014 10:24,4,322.5552,3.476579,-35.9091,f4
10:25:00,29/10/2014 10:25,19,65.61186,0.7069325,-36.24738,f4
10:25:20,29/10/2014 10:25,20,764.3191,8.379825,-19.31345,f4
10:26:20,29/10/2014 10:26,3,773.3688,8.333772,-36.11576,f4
10:26:40,29/10/2014 10:26,4,322.5423,3.47665,-35.85102,f4
10:27:00,29/10/2014 10:27,19,65.59702,0.7070828,-35.82445,f4
10:27:20,29/10/2014 10:27,20,770.3908,8.444886,-19.48857,f4
10:28:20,29/10/2014 10:28,3,773.4718,8.332908,-36.34404,f4
10:28:40,29/10/2014 10:28,4,322.6259,3.477382,-35.89782,f4
10:29:00,29/10/2014 10:29,19,65.54675,0.705992,-36.57341,f4
10:29:20,29/10/2014 10:29,20,777.4323,8.521765,-19.52423,f4
10:30:20,29/10/2014 10:30,3,773.6089,8.33584,-36.17574,f4
10:30:40,29/10/2014 10:30,4,322.7819,3.479337,-35.82213,f4
10:31:00,29/10/2014 10:31,19,65.42299,0.7045517,-36.72018,f4
10:31:20,29/10/2014 10:31,20,759.762,8.331133,-19.16367,f4
10:32:20,29/10/2014 10:32,3,773.0467,8.329888,-36.16358,f4
10:32:40,29/10/2014 10:32,4,322.336,3.474252,-35.89947,f4
10:33:00,29/10/2014 10:33,19,66.71602,0.719372,-35.51961,f4
10:33:20,29/10/2014 10:33,20,767.1646,8.41127,-19.28469,f4
10:34:20,29/10/2014 10:34,3,773.2467,8.332018,-36.16651,f4
10:34:40,29/10/2014 10:34,4,322.4903,3.475907,-35.90138,f4
10:35:00,29/10/2014 10:35,19,66.73003,0.7197564,-35.20686,f4
10:35:20,29/10/2014 10:35,20,748.7949,8.212727,-18.94239,f4
10:36:20,29/10/2014 10:36,3,773.3854,8.332631,-36.26842,f4
10:36:40,29/10/2014 10:36,4,322.5376,3.476391,-35.90882,f4
10:37:00,29/10/2014 10:37,19,441.304,4.912067,-4.374886,f4
10:37:20,29/10/2014 10:37,20,752.3986,8.253007,-18.85278,f4
10:38:20,29/10/2014 10:38,3,773.4075,8.334091,-36.12712,f4
10:38:40,29/10/2014 10:38,4,322.5911,3.47684,-35.94379,f4
10:39:00,29/10/2014 10:39,19,426.3023,4.744623,-4.47101,f4
10:39:20,29/10/2014 10:39,20,404.9141,4.508459,-4.055459,f4
10:40:20,29/10/2014 10:40,3,773.3569,8.331966,-36.30991,f4
10:40:40,29/10/2014 10:40,4,322.6197,3.476917,-36.00819,f4
10:41:00,29/10/2014 10:41,19,426.5598,4.747666,-4.433797,f4
10:41:20,29/10/2014 10:41,20,403.205,4.490073,-3.912863,f4
10:42:20,29/10/2014 10:42,3,773.4326,8.333678,-36.20606,f4
10:42:40,29/10/2014 10:42,4,322.5519,3.4765,-35.92122,f4
10:43:00,29/10/2014 10:43,19,426.4622,4.746181,-4.517463,f4
10:43:20,29/10/2014 10:43,20,402.7066,4.484661,-3.882163,f4
10:44:20,29/10/2014 10:44,3,773.4412,8.333484,-36.23939,f4
10:44:40,29/10/2014 10:44,4,322.6017,3.476963,-35.94184,f4
10:45:00,29/10/2014 10:45,19,426.6551,4.748514,-4.47859,f4
10:45:20,29/10/2014 10:45,20,402.7168,4.484687,-3.901466,f4
10:46:20,29/10/2014 10:46,3,773.3992,8.332349,-36.31814,f4
10:46:40,29/10/2014 10:46,4,322.5697,3.476337,-36.01942,f4
10:47:00,29/10/2014 10:47,19,426.6031,4.74812,-4.439631,f4
10:47:20,29/10/2014 10:47,20,402.4932,4.482099,-3.923266,f4
10:48:20,29/10/2014 10:48,3,773.3267,8.331714,-36.30083,f4
10:48:40,29/10/2014 10:48,4,322.5394,3.476499,-35.88379,f4
10:49:00,29/10/2014 10:49,19,426.573,4.747939,-4.407292,f4
10:49:20,29/10/2014 10:49,20,402.2645,4.480492,-3.714213,f4
10:50:20,29/10/2014 10:50,3,773.3173,8.33347,-36.08633,f4
10:50:40,29/10/2014 10:50,4,322.5683,3.477261,-35.75921,f4
10:51:00,29/10/2014 10:51,19,426.5584,4.748099,-4.339741,f4
10:51:20,29/10/2014 10:51,20,402.0621,4.477731,-3.826857,f4
10:52:20,29/10/2014 10:52,3,773.3427,8.33193,-36.29617,f4
10:52:40,29/10/2014 10:52,4,322.572,3.476665,-35.9355,f4
10:53:00,29/10/2014 10:53,19,445.2493,4.956528,-4.269296,f4
10:53:20,29/10/2014 10:53,20,512.5265,5.7097,-3.524413,f4
10:54:20,29/10/2014 10:54,3,773.3467,8.333341,-36.13807,f4
10:54:40,29/10/2014 10:54,4,322.5886,3.47677,-35.95608,f4
10:55:00,29/10/2014 10:55,19,585.8544,6.520174,-4.504418,f4
10:55:20,29/10/2014 10:55,20,551.4691,6.142783,-3.645572,f4
10:56:20,29/10/2014 10:56,3,773.431,8.333042,-36.27778,f4
10:56:40,29/10/2014 10:56,4,322.6202,3.477126,-35.95172,f4
10:57:00,29/10/2014 10:57,19,585.9129,6.521106,-4.461329,f4
10:57:20,29/10/2014 10:57,20,551.4675,6.143339,-3.55234,f4
10:58:20,29/10/2014 10:58,3,773.4604,8.333858,-36.2199,f4
10:58:40,29/10/2014 10:58,4,322.609,3.476937,-35.97075,f4
10:59:00,29/10/2014 10:59,19,586.4941,6.527516,-4.470208,f4
10:59:20,29/10/2014 10:59,20,551.7003,6.145275,-3.658858,f4
11:00:20,29/10/2014 11:00,3,773.3075,8.332479,-36.18897,f4
11:00:40,29/10/2014 11:00,4,322.5912,3.476678,-35.98927,f4
11:01:00,29/10/2014 11:01,19,586.3079,6.525628,-4.442297,f4
11:01:20,29/10/2014 11:01,20,551.4833,6.143522,-3.551503,f4
11:02:20,29/10/2014 11:02,3,773.5328,8.334464,-36.24012,f4
11:02:40,29/10/2014 11:02,4,322.6168,3.477906,-35.72548,f4
11:03:00,29/10/2014 11:03,19,585.7791,6.520384,-4.343994,f4
11:03:20,29/10/2014 11:03,20,550.9055,6.137129,-3.543977,f4
11:04:20,29/10/2014 11:04,3,773.3485,8.333075,-36.17125,f4
11:04:40,29/10/2014 11:04,4,322.5719,3.477126,-35.80732,f4
11:05:00,29/10/2014 11:05,19,585.7193,6.519506,-4.376607,f4
11:05:20,29/10/2014 11:05,20,550.8073,6.136312,-3.498937,f4
11:06:20,29/10/2014 11:06,3,773.2522,8.332782,-36.08498,f4
11:06:40,29/10/2014 11:06,4,322.556,3.477052,-35.78048,f4
11:07:00,29/10/2014 11:07,19,585.6485,6.51846,-4.415941,f4
11:07:20,29/10/2014 11:07,20,550.7342,6.134918,-3.593365,f4
11:08:20,29/10/2014 11:08,3,773.0925,8.331553,-36.02794,f4
11:08:40,29/10/2014 11:08,4,322.463,3.476631,-35.61908,f4
11:09:00,29/10/2014 11:09,19,49.39101,0.5242853,-50.90218,f4
11:09:20,29/10/2014 11:09,20,65.94279,0.7109419,-36.04699,f4
11:10:20,29/10/2014 11:10,3,773.3313,8.33305,-36.15258,f4
11:10:40,29/10/2014 11:10,4,322.5312,3.476272,-35.92243,f4
11:11:00,29/10/2014 11:11,19,47.55743,0.5039582,-52.13641,f4
11:11:20,29/10/2014 11:11,20,50.18877,0.5331444,-49.81473,f4
11:12:20,29/10/2014 11:12,3,773.3724,8.334136,-36.07826,f4
11:12:40,29/10/2014 11:12,4,322.7102,3.478981,-35.7065,f4
11:13:00,29/10/2014 11:13,19,156.8084,1.730183,-13.05586,f4
11:13:20,29/10/2014 11:13,20,151.2906,1.66931,-13.05033,f4
11:14:20,29/10/2014 11:14,3,773.1353,8.332235,-36.00249,f4
11:14:40,29/10/2014 11:14,4,322.4437,3.475516,-35.87037,f4
11:15:00,29/10/2014 11:15,19,241.64,2.681085,-7.543407,f4
11:15:20,29/10/2014 11:15,20,229.6672,2.549293,-7.133987,f4
11:16:20,29/10/2014 11:16,3,773.3473,8.332566,-36.22834,f4
11:16:40,29/10/2014 11:16,4,322.5353,3.476766,-35.79784,f4
11:17:00,29/10/2014 11:17,19,316.4381,3.517653,-5.661742,f4
11:17:20,29/10/2014 11:17,20,298.8817,3.323771,-5.278253,f4
